市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,スリッパ,ホーム,燃えるごみ,
大和郡山市,精米器(家庭用),大型電気製品,粗大ごみ,
大和郡山市,セカンドバッグ,ファッション＆アクセサリー,燃えるごみ,
大和郡山市,石けん箱,ホーム,燃えるごみ,
大和郡山市,せともの,ホーム,燃えないごみ,
大和郡山市,セメント,DIY・工具・ガーデン,市では収集できません,販売店、購入店に相談してください
大和郡山市,セロハンテープ台,文房具・オフィス用品,燃えないごみ,
大和郡山市,洗濯機,大型電気製品,市では収集できません,「特定家電品」 PI 0参照
大和郡山市,洗濯ばさみ,ホーム,燃えるごみ,
大和郡山市,洗濯物干し(プラスチッワ製),ホーム,粗大ごみ,
大和郡山市,洗濯用ロープ,ホーム,燃えるごみ,短く切る
大和郡山市,栓抜き,ホーム,燃えないごみ,
大和郡山市,扇風機,小型電気製品,粗大ごみ,
大和郡山市,洗面器(プラスチック製),ホーム,粗大ごみ,金属製は燃えないごみ
大和郡山市,洗面台,ホーム,市では収集できません,販売店、購入店に相談してください
大和郡山市,掃除機,小型電気製品,粗大ごみ,
大和郡山市,ソファー(木製),ホーム,粗大ごみ,
大和郡山市,ソファ (金属の骨組み),ホーム,粗大ごみ,
大和郡山市,ソファーベッド,ホーム,粗大ごみ,
大和郡山市,体温計(水銀),ホーム,有害ごみ,
大和郡山市,体温計(電子式),小型電気製品,使用済小型家電,乾電池を抜いて、公共施設の回収ボッフスへ乾電池は有害ー
大和郡山市,体重計,小型電気製品,粗大ごみ,
大和郡山市,タイヤ,乗り物,市では収集できません,自動車販売店、用品店に相談してください
大和郡山市,タイヤチェ一ン,乗り物,粗大ごみ,
大和郡山市,竹馬,おもちゃ,粗大ごみ,
大和郡山市,たたみ,ホーム,持込のみ可,自分で交換したもので、1日の搬入が6枚まで
大和郡山市,タブレット端末,小型電気製品,使用済小型家電,"公共施設の回収ボックスへ
個人情報は予め削除しておく"
大和郡山市,たまごパック,食品・飲料,燃えるごみ,
大和郡山市,たらい(木、プラスチック製),ホーム,粗大ごみ,
大和郡山市,たんす,ホーム,粗大ごみ,
大和郡山市,ダンボール,文房具・オフィス用品,資源ごみ,
大和郡山市,反物,ホーム,資源ごみ,
大和郡山市,チャイルドシート,ホーム,粗大ごみ,
大和郡山市,チューナー,小型電気製品,使用済小型家電,"公共施設の回収ボックス
投入口に入らないものは清掃センターへお問い合わせください"
大和郡山市,チュープ入り歯磨き粉,ホーム,燃えるごみ,
大和郡山市,調味料びん,食品・飲料,燃えないごみ（カン・ビン）,
大和郡山市,ちりとり(プラスチック製),ホーム,粗大ごみ,
大和郡山市,使い捨てカイロ,ホーム,燃えるごみ,使いきる
大和郡山市,使い捨てライター,ホーム,燃えるごみ,"使いきってから、ガス抜きをする
(多量にでる場合は持ち込みし、職員に品物を伝えたうえ直接手渡し)"
大和郡山市,机,ホーム,粗大ごみ,
大和郡山市,漬け物石,ホーム,市では収集できません,販売店、購入店に相談してください
大和郡山市,突っ張り棒,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,爪切り,ホーム,燃えないごみ,
大和郡山市,ディスプレイ(パソコン用、家庭用に限る),PC・周辺機器,使用済小型家電,"公共施設の回収ボックスへ
投入口に入らないものは清掃センターへお問い合わせください"
大和郡山市,テープレコーダー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,手押し車,ホーム,粗大ゴミ,家庭用のものに限る
大和郡山市,デジタルカメラ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,デスクトップパソコン,パソコン・周辺機器,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,デスクマット,ホーム,粗大ゴミ,
大和郡山市,手袋,DIY・工具・ガーデン,燃えるゴミ,
大和郡山市,テレビ,大型電気製品,回収不可,
大和郡山市,テレビ台,ホーム,粗大ゴミ,
大和郡山市,電気あんか,大型電気製品,粗大ゴミ,
大和郡山市,電気カーペット,大型電気製品,粗大ゴミ,
大和郡山市,電気カミソリ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,電気コード,大型電気製品,粗大ゴミ,
大和郡山市,電気スタンド,大型電気製品,粗大ゴミ,
大和郡山市,電気ポット,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,電気毛布,大型電気製品,粗大ゴミ,
大和郡山市,電子血圧計,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,電子辞書,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,電子書籍,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,電子ピアノ,大型電気製品,粗大ゴミ,
大和郡山市,電子レンジ,小型電気製品,粗大ゴミ,
大和郡山市,電卓,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,テント,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,電動歯ブラシ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
